name,poi_class,display_category,lon,lat,ring_mi
,,Government Office,-81.67870880111484,30.221282844470494,5
,,Fast Food Restaurant,-81.6756251,30.22110635,5
,,Hospital,-81.67805,30.221179999999993,5
,,Food And Beverage Store,-81.68734024,30.221079419999988,5
,,Vehicle Dealer,-81.68740748,30.22083789,5
,,Government Office,-81.687389,30.220862000000007,5
,,Community And Government,-81.68467875718385,30.220302271040193,5
,,Government Office,-81.686082780361,30.220230405232,5
,,Uncategorized,-81.69469258365132,30.220552815381186,5
,,Gas Station,-81.697167187689,30.220172125807714,5
,,Department Store,-81.6924261,30.221046299999998,5
,,Storage Facility,-81.6953958,30.221601599999985,5
,,Fashion And Apparel Store,-81.6951362,30.221632300000014,5
,,Fast Food Restaurant,-81.695136,30.221632,5
,,Shipping Or Delivery Service,-81.692679,30.221629,5
,,Shipping Or Delivery Service,-81.692698,30.221624999999992,5
,,Fast Food Restaurant,-81.69537767363519,30.221476495111528,5
,,Food And Beverage Store,-81.69625640000001,30.221407780000007,5
,,Department Store,-81.69459275,30.221423779999995,5
,,Discount Store,-81.6872,30.221600000000006,5
,,Electronics Store,-81.6872,30.221600000000006,5
,,Hospital,-81.68820643000001,30.22248572,5
,,Gym,-81.68822237,30.222365700000008,5
,,Restaurant,-81.69642086885725,30.22244817496208,5
,,Personal Or Beauty Service,-81.694896853728,30.221874687953743,5
,,Department Store,-81.69538225392313,30.22188632662212,5
,,Military Site,-81.695189,30.221922000000003,5
,,Fashion And Apparel Store,-81.695104248074,30.222094341961995,5
,,Government Office,-81.698949,30.222222,5
,,Research Institute,-81.69378471,30.218105489999985,5
,,Vision Or Eye Care Clinic,-81.7000454,30.219383599999993,5
,,Fast Food Restaurant,-81.7000454,30.219383599999993,5
,,Restaurant,-81.7000454,30.219383599999993,5
,,Park,-81.698022,30.21971700000001,5
,,Automotive Service,-81.696245,30.219690000000003,5
,,Rv Park,-81.681887,30.218971000000007,5
,,Rv Park,-81.68161632870482,30.219212837457107,5
,,Personal Or Beauty Service,-81.67348690000001,30.218759499999997,5
,,Marina,-81.67347908671945,30.218390142845852,5
,,Military Site,-81.673489,30.218440999999995,5
,,Park,-81.67432372,30.218625400000008,5
,,Rental Service,-81.682723999023,30.218355178833004,5
,,Military Site,-81.68153132809512,30.217662726009017,5
,,Military Site,-81.68140473525153,30.217642234212356,5
,,Military Site,-81.681403415354,30.217331657214007,5
,,Animal Or Pet Service,-81.69540747,30.21722315,5
,,Restaurant,-81.68176521,30.214852739999994,5
,,Golf Course,-81.68163791,30.214884679999994,5
,,Restaurant,-81.681661,30.214888,5
,,Sport Or Recreation Club,-81.681661,30.214888,5
,,Golf Course,-81.68161264520397,30.214841982339674,5
,,Military Site,-81.680178,30.214083000000002,5
,,Government Office,-81.683416,30.211957,5
,,Hotel,-81.67945875997547,30.211034687837998,5
,,Uncategorized,-81.67949388150751,30.21091176511095,5
,,Lodging,-81.67954911,30.210954589999997,5
,,Government Office,-81.67978445938746,30.210864792164873,5
,,Military Site,-81.68306930109225,30.20852367998158,5
,,Reproductive Perinatal And Womens Care,-81.6835766,30.2093625,5
,,Reproductive Perinatal And Womens Care,-81.6835766,30.2093625,5
,,Reproductive Perinatal And Womens Care,-81.6835766,30.2093625,5
,,Hospital,-81.68360798,30.2088526,5
,,Hospital,-81.68393445028741,30.20879436142913,5
,,Doctor,-81.683578491211,30.208541870117,5
,,Hospital,-81.683736640702,30.208416336871,5
,,Hospital,-81.68406936075519,30.20829957109811,5
