naics_code,naics_title_ours,selected_felten_code,selected_felten_name,aiie_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step4_match_flag
4811,Scheduled air transportation,4811,Scheduled Air Transportation,-0.4555449,raw_exact_match,,notebook_raw_appendix_b,378731.0,0.00328328156194636,True
4492,NAICS 4492 Electronics and appliance retailers,4431,Electronics and Appliance Stores,0.3619018,raw_normalized_match,,notebook_raw_appendix_b,378136.0,0.0032781234087205665,True
7224,"Drinking places, alcoholic beverages",7224,Drinking Places (Alcoholic Beverages),-0.99913,raw_exact_match,,notebook_raw_appendix_b,373091.0,0.0032343874708648866,True
4236,Electric goods merchant wholesalers,,,,,,,355269.0,0.003079885610713465,False
4231,Motor vehicle and parts merchant wholesalers,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,-0.1601646,raw_exact_match,,notebook_raw_appendix_b,352232.0,0.0030535573563492038,True
5231,Securities and commodity contracts brokerage,,,,,,,349932.0,0.0030336182766528583,False
5312,Offices of real estate agents and brokers,,,,,,,339603.0,0.0029440744704860963,False
3323,Architectural and structural metals mfg.,,,,,,,338376.0,0.00293343740492635,False
8134,Civic and social organizations,8134,Civic and Social Organizations,-0.3505448,raw_exact_match,,notebook_raw_appendix_b,331536.0,0.0028741403157424355,True
3345,Electronic instrument manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.113945,raw_exact_match,,notebook_raw_appendix_b,326523.0,0.002830681791169488,True
3231,Printing and related support activities,3231,Printing and Related Support Activities,-0.2099964,raw_exact_match,,notebook_raw_appendix_b,322489.0,0.002795710379215115,True
3363,Motor vehicle parts manufacturing,3363,Motor Vehicle Parts Manufacturing,-0.5860924,raw_exact_match,,notebook_raw_appendix_b,316367.0,0.0027426377505624946,True
3344,Semiconductor and electronic component mfg.,3344,Semiconductor and Other Electronic Component Manufacturing,0.6828295,raw_exact_match,,notebook_raw_appendix_b,314109.0,0.0027230627757997344,True
6219,Other ambulatory health care services,6219,Other Ambulatory Health Care Services,0.7869348,raw_exact_match,,notebook_raw_appendix_b,308303.0,0.00267272960331409,True
5619,Other support services,5619,Other Support Services,-0.4762704,raw_exact_match,,notebook_raw_appendix_b,300322.0,0.0026035409967677713,True
4237,Hardware and plumbing merchant wholesalers,,,,,,,299905.0,0.002599925954927173,False
3327,Machine shops and threaded product mfg.,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",-0.6099281,raw_exact_match,,notebook_raw_appendix_b,299728.0,0.002598391512707063,True
3118,Bakeries and tortilla manufacturing,3118,Bakeries and Tortilla Manufacturing,-0.8015609,raw_exact_match,,notebook_raw_appendix_b,298490.0,0.0025876590863313778,True
4239,Misc. durable goods merchant wholesalers,,,,,,,297854.0,0.002582145497337084,False
2373,"Highway, street, and bridge construction",2373,"Highway, Street, and Bridge Construction",-1.296256,raw_exact_match,,notebook_raw_appendix_b,294192.0,0.002550399014794468,True
4249,Misc. nondurable goods merchant wholesalers,,,,,,,293563.0,0.0025449461099557717,False
5121,Motion picture and video industries,5121,Motion Picture and Video Industries,0.4026041,raw_exact_match,,notebook_raw_appendix_b,290033.0,0.002514343957204424,True
6215,Medical and diagnostic laboratories,6215,Medical and Diagnostic Laboratories,0.6741955,raw_exact_match,,notebook_raw_appendix_b,288741.0,0.002503143395914129,True
1151,Support activities for crop production,1151,Support Activities for Crop Production,-2.165304,raw_exact_match,,notebook_raw_appendix_b,277424.0,0.0024050344546430237,True
3261,Plastics product manufacturing,3261,Plastics Product Manufacturing,-0.8657592,raw_exact_match,,notebook_raw_appendix_b,264955.0,0.002296938635193575,True
3254,Pharmaceutical and medicine manufacturing,3254,Pharmaceutical and Medicine Manufacturing,0.4637086,raw_exact_match,,notebook_raw_appendix_b,257212.0,0.0022298132899375737,True
3391,Medical equipment and supplies manufacturing,3391,Medical Equipment and Supplies Manufacturing,0.2301883,raw_exact_match,,notebook_raw_appendix_b,252601.0,0.0021898397697289436,True
5223,Activities related to credit intermediation,5220,Credit Intermediation and Related Activities (5221 And 5223 only),1.888684,raw_normalized_match,,notebook_raw_appendix_b,250663.0,0.002173038927793501,True
8133,Social advocacy organizations,8133,Social Advocacy Organizations,1.194087,raw_exact_match,,notebook_raw_appendix_b,246220.0,0.0021345218273192126,True
4881,Support activities for air transportation,4881,Support Activities for Air Transportation,-0.3353398,raw_exact_match,,notebook_raw_appendix_b,245706.0,0.002130065876465334,True
4233,Lumber and const. supply merchant wholesalers,,,,,,,243995.0,0.0021152329350042696,False
4242,Druggists' goods merchant wholesalers,,,,,,,242240.0,0.0021000185502794495,False
4885,Freight transportation arrangement,4885,Freight Transportation Arrangement,1.024609,raw_exact_match,,notebook_raw_appendix_b,241704.0,0.0020953718777936927,True
8123,Drycleaning and laundry services,8123,Drycleaning and Laundry Services,-1.148211,raw_exact_match,,notebook_raw_appendix_b,236973.0,0.0020543580577748184,True
2131,Support activities for mining,2131,Support Activities for Mining,-0.9810408,raw_exact_match,,notebook_raw_appendix_b,231840.0,0.0020098592333916265,True
5131,"NAICS 5131 Newspaper, periodical, book, and directory publishers",,,,,,,230261.0,0.001996170621721831,False
3399,Other miscellaneous manufacturing,3399,Other Miscellaneous Manufacturing,-0.068744,raw_exact_match,,notebook_raw_appendix_b,213714.0,0.0018527219470542533,True
8113,Commercial machinery repair and maintenance,8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,-0.7797639,raw_exact_match,,notebook_raw_appendix_b,212805.0,0.001844841675991654,True
4452,Specialty food stores,4450,Food and Beverage Stores (4451 and 4452 only),-0.4066956,raw_normalized_match,,notebook_raw_appendix_b,208356.0,0.0018062725605268535,True
8141,Private households,,,,,,,199610.0,0.0017304520426902285,False
5321,Automotive equipment rental and leasing,5321,Automotive Equipment Rental and Leasing,-0.1278947,raw_exact_match,,notebook_raw_appendix_b,198081.0,0.0017171968892747014,True
2211,Power generation and supply,2211,"Electric Power Generation, Transmission and Distribution",0.2096187,raw_exact_match,,notebook_raw_appendix_b,192445.0,0.0016683374748535696,True
3339,Other general purpose machinery manufacturing,,,,,,,192107.0,0.0016654072970547153,False
6117,Educational support services,6117,Educational Support Services,1.605398,raw_exact_match,,notebook_raw_appendix_b,191131.0,0.0016569461919313966,True
6243,Vocational rehabilitation services,6243,Vocational Rehabilitation Services,0.2863293,raw_exact_match,,notebook_raw_appendix_b,189352.0,0.0016415237472445275,True
4595,NAICS 4595 Used merchandise retailers,,,,,,,189123.0,0.0016395385084399783,False
4594,"NAICS 4594 Office supplies, stationery, and gift retailers",,,,,,,186183.0,0.0016140511630889976,False
6242,Emergency and other relief services,6242,"Community Food and Housing, and Emergency and Other Relief Services",0.8514432,raw_exact_match,,notebook_raw_appendix_b,184841.0,0.0016024171435444342,True
3121,Beverage manufacturing,3121,Beverage Manufacturing,-0.6586424,raw_exact_match,,notebook_raw_appendix_b,183467.0,0.001590505710717139,True
8131,Religious organizations,8131,Religious Organizations,0.9662193,raw_exact_match,,notebook_raw_appendix_b,183092.0,0.0015872547738101264,True
9999,Unclassified,,,,,,,179738.0,0.0015581783941138033,False
3119,Other food manufacturing,3119,Other Food Manufacturing,-0.8538909,raw_exact_match,,notebook_raw_appendix_b,177821.0,0.0015415596046451537,True
3329,Other fabricated metal product manufacturing,,,,,,,176786.0,0.0015325870187817981,False
5162,"NAICS 5162 Media streaming distribution services, social networks, and other media networks and content providers",5152,Cable and Other Subscription Programming,1.098212,raw_normalized_match,,notebook_raw_appendix_b,173538.0,0.0015044295705845241,True
5324,Machinery and equipment rental and leasing,5321,Automotive Equipment Rental and Leasing,-0.1278947,accepted_suggested_join,Same 3-digit NAICS family with strong title alignment.,recommended_felten_naics_overrides_initial,173283.0,0.0015022189334877555,True
4248,Alcoholic beverage merchant wholesalers,,,,,,,173234.0,0.0015017941443985724,False
3116,Animal slaughtering and processing,3116,Animal Slaughtering and Processing,-1.662866,raw_exact_match,,notebook_raw_appendix_b,171630.0,0.0014878888036016428,True
5615,Travel arrangement and reservation services,5615,Travel Arrangement and Reservation Services,1.68347,raw_exact_match,,notebook_raw_appendix_b,166696.0,0.001445115143070439,True
5621,Waste collection,5621,Waste Collection,-1.332496,raw_exact_match,,notebook_raw_appendix_b,162573.0,0.0014093721754234684,True
4582,NAICS 4582 Shoe retailers,4482,Shoe Stores,0.2810808,raw_normalized_match,,notebook_raw_appendix_b,160831.0,0.001394270489844758,True
4442,Lawn and garden equipment and supplies stores,4442,Lawn and Garden Equipment and Supplies Stores,-0.4641636,raw_exact_match,,notebook_raw_appendix_b,157619.0,0.0013664251315905571,True
7113,Promoters of performing arts and sports,7113,"Promoters of Performing Arts, Sports, and Similar Events",-0.1931654,raw_exact_match,,notebook_raw_appendix_b,157461.0,0.0013650554035070691,True
4453,"Beer, wine, and liquor stores",4453,"Beer, Wine, and Liquor Stores",-0.0185797,raw_exact_match,,notebook_raw_appendix_b,151578.0,0.0013140547053098516,True
4922,Local messengers and local delivery,4922,Local Messengers and Local Delivery,-1.182829,raw_exact_match,,notebook_raw_appendix_b,150705.0,0.0013064865241903256,True
4412,Other motor vehicle dealers,4412,Other Motor Vehicle Dealers,-0.1300993,raw_exact_match,,notebook_raw_appendix_b,150020.0,0.0013005481461068487,True
1113,Fruit and tree nut farming,,,,,,,149932.0,0.0012997852595793365,False
7121,"Museums, historical sites, zoos, and parks",7121,"Museums, Historical Sites, and Similar Institutions",0.380777,raw_exact_match,,notebook_raw_appendix_b,148900.0,0.001290838681211237,True
8132,Grantmaking and giving services,8132,Grantmaking and Giving Services,1.721215,raw_exact_match,,notebook_raw_appendix_b,147773.0,0.0012810685321600276,True
3273,Cement and concrete product manufacturing,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,141627.0,0.0012277878435453585,True
5629,Remediation and other waste services,5629,Remediation and Other Waste Management Services,-0.7835333,raw_exact_match,,notebook_raw_appendix_b,141010.0,0.0012224389686876867,True
4854,School and employee bus transportation,4854,School and Employee Bus Transportation,0.076602,raw_exact_match,,notebook_raw_appendix_b,138461.0,0.0012003412668850845,True
5414,Specialized design services,5414,Specialized Design Services,1.280983,raw_exact_match,,notebook_raw_appendix_b,136249.0,0.0011811650737162515,True
4246,Chemical merchant wholesalers,,,,,,,134810.0,0.0011686901451584074,False
1114,Greenhouse and nursery production,,,,,,,133574.0,0.001157975057112893,False
3371,Household and institutional furniture mfg.,3379,Other Furniture Related Product Manufacturing,-0.5724769,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,128485.0,0.0011138576759934572,True
7131,Amusement parks and arcades,7131,Amusement Parks and Arcades,-0.533819,raw_exact_match,,notebook_raw_appendix_b,125230.0,0.0010856395436405857,True
5192,"NAICS 5192 Web search portals, libraries, archives, and other information services",5191,Other Information Services,1.749664,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,124185.0,0.0010765802661263765,True
7112,Spectator sports,7112,Spectator Sports,-0.2576417,raw_exact_match,,notebook_raw_appendix_b,123757.0,0.0010728698634698392,True
3335,Metalworking machinery manufacturing,3335,Metalworking Machinery Manufacturing,-0.346932,raw_exact_match,,notebook_raw_appendix_b,121601.0,0.0010541791435457867,True
5612,Facilities support services,5612,Facilities Support Services,-1.008228,raw_exact_match,,notebook_raw_appendix_b,121546.0,0.0010537023394660914,True
3219,Other wood product manufacturing,3219,Other Wood Product Manufacturing,-1.146,raw_exact_match,,notebook_raw_appendix_b,120226.0,0.0010422590415534061,True
7111,Performing arts companies,7111,Performing Arts Companies,0.1677087,raw_exact_match,,notebook_raw_appendix_b,119798.0,0.0010385486388968688,True
4243,Apparel and piece goods merchant wholesalers,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.6573116,raw_exact_match,,notebook_raw_appendix_b,117981.0,0.001022796765936756,True
4583,"NAICS 4583 Jewelry, luggage, and leather goods retailers",4483,"Jewelry, Luggage, and Leather Goods Stores",0.3828857,raw_normalized_match,,notebook_raw_appendix_b,115056.0,0.0009974394580620557,True
8122,Death care services,8122,Death Care Services,-0.3155441,raw_exact_match,,notebook_raw_appendix_b,114580.0,0.0009933129354814207,True
4235,Metal and mineral merchant wholesalers,,,,,,,111994.0,0.00097089447457066,False
1121,Cattle ranching and farming,,,,,,,108450.0,0.0009401709535081172,False
6115,Technical and trade schools,6115,Technical and Trade Schools,0.947026,raw_exact_match,,notebook_raw_appendix_b,108285.0,0.0009387405412690315,True
6239,Other residential care facilities,6239,Other Residential Care Facilities,0.7190148,raw_exact_match,,notebook_raw_appendix_b,104088.0,0.0009023560554057437,True
5322,Consumer goods rental,,,,,,,100986.0,0.0008754643053109334,False
3328,"Coating, engraving, and heat treating metals",3328,"Coating, Engraving, Heat Treating, and Allied Activities",-0.7753809,raw_exact_match,,notebook_raw_appendix_b,100851.0,0.0008742939680244087,True
4232,Furniture and furnishing merchant wholesalers,,,,,,,98094.0,0.0008503930798840503,False
3251,Basic chemical manufacturing,3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,98017.0,0.000849725554172477,True
3222,Converted paper product manufacturing,3222,Converted Paper Product Manufacturing,-0.8241846,raw_exact_match,,notebook_raw_appendix_b,96549.0,0.0008369992198271573,True
4241,Paper and paper product merchant wholesalers,,,,,,,94670.0,0.0008207098586317516,False
4884,Support activities for road transportation,4884,Support Activities for Road Transportation,-0.9504591,raw_exact_match,,notebook_raw_appendix_b,93327.0,0.0008090671699221029,True
8112,Electronic equipment repair and maintenance,8112,Electronic and Precision Equipment Repair and Maintenance,0.1066877,raw_exact_match,,notebook_raw_appendix_b,90073.0,0.0007808577067343167,True
3332,Industrial machinery manufacturing,,,,,,,89845.0,0.0007788811370948529,False
3115,Dairy product manufacturing,3115,Dairy Product Manufacturing,-0.8435335,raw_exact_match,,notebook_raw_appendix_b,88922.0,0.0007708794977210585,True
5161,NAICS 5161 Radio and television broadcasting stations,,,,,,,87881.0,0.0007618548968671908,False
3331,"Ag., construction, and mining machinery mfg.",,,,,,,87478.0,0.0007583612233377878,False
4883,Support activities for water transportation,4883,Support Activities for Water Transportation,-1.411064,raw_exact_match,,notebook_raw_appendix_b,84908.0,0.0007360814690683929,True
4859,Other ground passenger transportation,4859,Other Transit and Ground Passenger Transportation,0.9623069,raw_exact_match,,notebook_raw_appendix_b,84872.0,0.0007357693791253197,True
2379,Other heavy construction,2379,Other Heavy and Civil Engineering Construction,-1.104619,raw_exact_match,,notebook_raw_appendix_b,84563.0,0.0007330906071139412,True
6223,Other hospitals,6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,0.5900623,raw_exact_match,,notebook_raw_appendix_b,82384.0,0.0007142004963929251,True
2111,Oil and gas extraction,2111,Oil and Gas Extraction,0.6686154,raw_exact_match,,notebook_raw_appendix_b,80267.0,0.0006958478739072019,True
3114,Fruit and vegetable preserving and specialty,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.980808,raw_exact_match,,notebook_raw_appendix_b,79663.0,0.0006906116981956398,True
4853,Taxi and limousine service,4853,Taxi and Limousine Service,1.369857,raw_exact_match,,notebook_raw_appendix_b,76017.0,0.0006590039222943895,True
8114,Household goods repair and maintenance,8114,Personal and Household Goods Repair and Maintenance,-0.7464604,raw_exact_match,,notebook_raw_appendix_b,73462.0,0.0006368542055012754,True
3353,Electrical equipment manufacturing,3353,Electrical Equipment Manufacturing,0.332973,raw_exact_match,,notebook_raw_appendix_b,71302.0,0.0006181288089168813,True
3256,"Soap, cleaning compound, and toiletry mfg.",3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,70614.0,0.0006121644233381484,True
3341,Computer and peripheral equipment mfg.,3341,Computer and Peripheral Equipment Manufacturing,1.596084,raw_exact_match,,notebook_raw_appendix_b,70164.0,0.000608263299049733,True
4247,Petroleum merchant wholesalers,,,,,,,69299.0,0.0006007644712508899,False
3359,Other electrical equipment and component mfg.,3359,Other Electrical Equipment and Component Manufacturing,-0.0384073,raw_exact_match,,notebook_raw_appendix_b,69201.0,0.0005999148930725239,True
3362,Motor vehicle body and trailer manufacturing,3362,Motor Vehicle Body and Trailer Manufacturing,-0.8058288,raw_exact_match,,notebook_raw_appendix_b,68790.0,0.0005963518662224378,True
1112,Vegetable and melon farming,,,,,,,62110.0,0.0005384418434521822,False
3241,Petroleum and coal products manufacturing,3241,Petroleum and Coal Products Manufacturing,-0.1959436,raw_exact_match,,notebook_raw_appendix_b,62084.0,0.0005382164451599626,True
5622,Waste treatment and disposal,5622,Waste Treatment and Disposal,-0.7965308,raw_exact_match,,notebook_raw_appendix_b,60659.0,0.0005258628849133138,True
6114,"Business, computer and management training",6114,Business Schools and Computer and Management Training,1.741192,raw_exact_match,,notebook_raw_appendix_b,58429.0,0.0005065306467729441,True
3342,Communications equipment manufacturing,3342,Communications Equipment Manufacturing,1.181725,raw_exact_match,,notebook_raw_appendix_b,55015.0,0.00047693411717149905,True
7115,"Independent artists, writers, and performers",7115,"Independent Artists, Writers, and Performers",0.6088023,raw_exact_match,,notebook_raw_appendix_b,54278.0,0.0004705449425035831,True
3334,Hvac and commercial refrigeration equipment,,,,,,,53919.0,0.0004674327122379361,False
3321,Forging and stamping,,,,,,,53569.0,0.00046439850445805745,False
4592,NAICS 4592 Book retailers and news dealers,4512,Book Stores and News Dealers,0.2499871,raw_normalized_match,,notebook_raw_appendix_b,52708.0,0.00045693435331955594,True
4572,NAICS 4572 Fuel dealers,,,,,,,51644.0,0.0004477103616687248,False
3366,Ship and boat building,3366,Ship and Boat Building,-0.6675431,raw_exact_match,,notebook_raw_appendix_b,51107.0,0.0004430550200178824,True
3372,Office furniture and fixtures manufacturing,3379,Other Furniture Related Product Manufacturing,-0.5724769,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,49034.0,0.00042508384079591535,True
3333,Commercial and service industry machinery,3333,Commercial and Service Industry Machinery Manufacturing,0.3308995,raw_exact_match,,notebook_raw_appendix_b,48347.0,0.0004191281243822678,True
3361,Motor vehicle manufacturing,3361,Motor Vehicle Manufacturing,-0.3023474,raw_exact_match,,notebook_raw_appendix_b,47349.0,0.00041047629762707094,True
1119,Other crop farming,,,,,,,44355.0,0.0003845208173614803,False
3324,"Boiler, tank, and shipping container mfg.",,,,,,,43916.0,0.00038071505388900394,False
7132,Gambling industries,7132,Gambling Industries,-0.1355364,raw_exact_match,,notebook_raw_appendix_b,43915.0,0.00038070638472391855,True
3255,"Paint, coating, and adhesive manufacturing",3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,41309.0,0.0003581145405114506,True
4593,NAICS 4593 Florists,4531,Florists,-0.3690017,raw_normalized_match,,notebook_raw_appendix_b,40982.0,0.0003552797235285354,True
3152,Cut and sew apparel manufacturing,3152,Cut and Sew Apparel Manufacturing,-0.6520287,raw_exact_match,,notebook_raw_appendix_b,40822.0,0.00035389265711487653,True
3279,Other nonmetallic mineral products,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,39312.0,0.00034080221783597145,True
3315,Foundries,3315,Foundries,-1.078051,raw_exact_match,,notebook_raw_appendix_b,38311.0,0.0003321243835855185,True
6222,Psychiatric and substance abuse hospitals,6222,Psychiatric and Substance Abuse Hospitals,0.5211326,raw_exact_match,,notebook_raw_appendix_b,38094.0,0.0003302431747619937,True
4245,Farm product raw material merch. whls.,4245,Farm Product Raw Material Merchant Wholesalers,-0.7109669,raw_exact_match,,notebook_raw_appendix_b,37897.0,0.0003285353492401763,True
3259,Other chemical product and preparation mfg.,3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,36504.0,0.0003164592022762592,True
1111,Oilseed and grain farming,,,,,,,34958.0,0.0003030566730542809,False
3252,"Resin, rubber, and artificial fibers mfg.",3254,Pharmaceutical and Medicine Manufacturing,0.4637086,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,34607.0,0.00030001379610931683,True
7212,Rv parks and recreational camps,7212,RV (Recreational Vehicle) Parks and Recreational Camps,-0.404939,raw_exact_match,,notebook_raw_appendix_b,34249.0,0.00029691023500875524,True
3113,Sugar and confectionery product manufacturing,3113,Sugar and Confectionery Product Manufacturing,-0.7729946,raw_exact_match,,notebook_raw_appendix_b,33512.0,0.00029052106034083933,True
3262,Rubber product manufacturing,3262,Rubber Product Manufacturing,-1.077709,raw_exact_match,,notebook_raw_appendix_b,29916.0,0.0002593467426938574,True
4812,Nonscheduled air transportation,4812,Nonscheduled Air Transportation,0.1134526,raw_exact_match,,notebook_raw_appendix_b,28813.0,0.0002497846536046969,True
2123,Nonmetallic mineral mining and quarrying,2123,Nonmetallic Mineral Mining and Quarrying,-1.037903,raw_exact_match,,notebook_raw_appendix_b,28078.0,0.00024341281726695174,True
