naics_code,naics_title_ours,selected_felten_code,selected_felten_name,aiie_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step4_match_flag
3322,Cutlery and handtool manufacturing,,,,,,,9337.0,8.094399440207736e-05,False
3369,Other transportation equipment manufacturing,3369,Other Transportation Equipment Manufacturing,-0.1676746,raw_exact_match,,notebook_raw_appendix_b,8864.0,7.684347931669848e-05,True
1129,Other animal production,,,,,,,8683.0,7.527436043624695e-05,False
4855,Charter bus industry,4855,Charter Bus Industry,0.0093568,raw_exact_match,,notebook_raw_appendix_b,8516.0,7.382660986699056e-05,True
3133,Textile and fabric finishing mills,3133,Textile and Fabric Finishing and Fabric Coating Mills,-0.4358472,raw_exact_match,,notebook_raw_appendix_b,8376.0,7.26129267550391e-05,True
3343,Audio and video equipment manufacturing,3343,Audio and Video Equipment Manufacturing,1.161132,raw_exact_match,,notebook_raw_appendix_b,7505.0,6.50620839656839e-05,True
3271,Clay product and refractory manufacturing,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,7477.0,6.481934734329362e-05,True
3352,Household appliance manufacturing,3352,Household Appliance Manufacturing,0.0281708,raw_exact_match,,notebook_raw_appendix_b,6750.0,5.851686432623136e-05,True
6112,Junior colleges,6112,Junior Colleges,1.530079,raw_exact_match,,notebook_raw_appendix_b,5741.0,4.976967675509544e-05,True
3131,"Fiber, yarn, and thread mills",3131,"Fiber, Yarn, and Thread Mills",-1.587852,raw_exact_match,,notebook_raw_appendix_b,5712.0,4.9518270967619784e-05,True
2122,Metal ore mining,2122,Metal Ore Mining,-0.8924032,raw_exact_match,,notebook_raw_appendix_b,5382.0,4.665744648944847e-05,True
5232,Securities and commodity exchanges,,,,,,,5186.0,4.495829013271642e-05,False
3325,Hardware manufacturing,,,,,,,5036.0,4.365791536991128e-05,False
5251,Insurance and employee benefit funds,5251,Insurance and Employee Benefit Funds,2.180309,raw_exact_match,,notebook_raw_appendix_b,4968.0,4.306841214410628e-05,True
5174,Satellite telecommunications,,,,,,,4801.0,4.1620661574849893e-05,False
4861,Pipeline transportation of crude oil,4861,Pipeline Transportation of Crude Oil,-0.1340503,raw_exact_match,,notebook_raw_appendix_b,4645.0,4.026827182153254e-05,True
3365,Railroad rolling stock manufacturing,3365,Railroad Rolling Stock Manufacturing,-0.6623871,raw_exact_match,,notebook_raw_appendix_b,3982.0,3.452061536993382e-05,True
3346,Magnetic media manufacturing and reproducing,3346,Manufacturing and Reproducing Magnetic and Optical Media,0.1490236,raw_exact_match,,notebook_raw_appendix_b,2869.0,2.487183462991967e-05,True
3159,Accessories and other apparel manufacturing,3159,Apparel Accessories and Other Apparel Manufacturing,-0.7916203,raw_exact_match,,notebook_raw_appendix_b,2823.0,2.447305303599276e-05,True
7213,Rooming and boarding houses,7213,Rooming and Boarding Houses,-1.051392,raw_exact_match,,notebook_raw_appendix_b,2716.0,2.3545452371858427e-05,True
3151,Apparel knitting mills,3151,Apparel Knitting Mills,-1.272213,raw_exact_match,,notebook_raw_appendix_b,2656.0,2.302530246673637e-05,True
1125,Aquaculture,,,,,,,2641.0,2.2895264990455855e-05,False
4852,Interurban and rural bus transportation,4852,Interurban and Rural Bus Transportation,-0.0462207,raw_exact_match,,notebook_raw_appendix_b,2628.0,2.2782565844346076e-05,True
3169,Other leather product manufacturing,3169,Other Leather and Allied Product Manufacturing,-0.6799067,raw_exact_match,,notebook_raw_appendix_b,2584.0,2.2401122580589902e-05,True
4871,"Scenic and sightseeing transportation, land",4871,"Scenic and Sightseeing Transportation, Land",0.4042215,raw_exact_match,,notebook_raw_appendix_b,2444.0,2.1187439468638437e-05,True
4911,Postal service,4911,Postal Service (federal government),-1.314742,raw_exact_match,,notebook_raw_appendix_b,1984.0,1.7199623529369337e-05,True
3122,Tobacco manufacturing,3122,Tobacco Manufacturing,-0.8843057,raw_exact_match,,notebook_raw_appendix_b,1711.0,1.483294146106398e-05,True
1141,Fishing,,,,,,,1601.0,1.3879333301673542e-05,False
3162,Footwear manufacturing,3162,Footwear Manufacturing,-0.5300771,raw_exact_match,,notebook_raw_appendix_b,1559.0,1.3515228368088103e-05,True
3274,Lime and gypsum product manufacturing,3270,Nonmetallic Mineral Product Manufacturing,-0.9656745,accepted_suggested_join,Same 3-digit NAICS family with moderate title alignment.,recommended_felten_naics_overrides_initial,1345.0,1.1660027039819435e-05,True
4869,Other pipeline transportation,4869,Other Pipeline Transportation,-0.0393555,raw_exact_match,,notebook_raw_appendix_b,1323.0,1.1469305407941348e-05,True
